Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides LG1	Peptides LG2	Razor + unique peptides LG1	Razor + unique peptides LG2	Unique peptides LG1	Unique peptides LG2	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Q-value	Score	Identification type LG1	Identification type LG2	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Ratio H/L iso-count	Ratio H/L type	Ratio H/L LG1	Ratio H/L LG2	Ratio H/L normalized LG1	Ratio H/L normalized LG2	Ratio H/L variability [%] LG1	Ratio H/L variability [%] LG2	Ratio H/L count LG1	Ratio H/L count LG2	Ratio H/L iso-count LG1	Ratio H/L iso-count LG2	Ratio H/L type LG1	Ratio H/L type LG2	Sequence coverage LG1 [%]	Sequence coverage LG2 [%]	Intensity	Intensity L	Intensity H	Intensity LG1	Intensity L LG1	Intensity H LG1	Intensity LG2	Intensity L LG2	Intensity H LG2	iBAQ	iBAQ L	iBAQ H	iBAQ LG1	iBAQ L LG1	iBAQ H LG1	iBAQ LG2	iBAQ L LG2	iBAQ H LG2	LFQ intensity L LG1	LFQ intensity H LG1	LFQ intensity L LG2	LFQ intensity H LG2	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
CON__Q6NTB9;CON__O76009;CON__Q9UE12;CON__Q15323;CON__Q9D646;CON__A2A5Y0;CON__Q92764;CON__Q14532;CON__Q497I4;CON__REFSEQ:XP_986630	CON__Q6NTB9;CON__O76009;CON__Q9UE12;CON__Q15323	3;3;3;3;1;1;1;1;1;1	3;3;3;3;1;1;1;1;1;1	1;1;1;1;0;0;0;1;0;0	;;;	10	3	3	1	3	0	3	0	1	0	8.7	8.7	3.2	45.968	404	404;404;416;416;392;416;425;448;455;476	1	3	0	24.64	By MS/MS		NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	NaN	NaN	NaN	1	0	1	0	Median	Median	8.7	0	250380	241980	8406	250380	241980	8406	0	0	0	8942.2	8642	300.22	8942.2	8642	300.22	0	0	0	381180	75960	0	0			+	0	71;144;711	True;True;True	76;160;797	115;251;1305	174;404;2105	174;404;2105		
CON__P00761	CON__P00761	3	3	2		1	3	3	2	3	1	3	1	2	0	20.8	20.8	17.3	24.409	231	231	1	6	0	20.699	By MS/MS	By MS/MS	0.042882	0.10501	95.757	2	2	Median	NaN	0.042882	NaN	0.10501	NaN	95.757	0	2	0	2	Median	Median	20.8	3.5	3388300	3330800	57540	792010	792010	0	2596300	2538800	57540	308030	302800	5230.9	72001	72001	0	236030	230800	5230.9	1077400	0	4458100	468130			+	1	380;462;575	True;True;True	427;518;649	675;676;849;1067;1068;1069	1139;1140;1400;1729;1730;1731;1732;1733;1734;1735;1736;1737;1738;1739;1740;1741;1742;1743;1744;1745;1746;1747;1748;1749;1750;1751;1752;1753;1754;1755;1756;1757;1758	1140;1400;1733	0	94
CON__P01966	CON__P01966	4	4	4		1	4	4	4	3	3	3	3	3	3	33.1	33.1	33.1	15.184	142	142	1	13	0	26.13	By MS/MS	By MS/MS	0.080129	0.24149	153.9	3	2	Median	0.12693	NaN	0.2231	NaN	217.55	NaN	2	1	1	1	Median	Median	25.4	24.6	617340	559160	58175	453360	412820	40535	163980	146340	17639	68593	62129	6463.8	50373	45869	4503.9	18220	16260	1959.9	1043800	232870	0	0			+	2	236;538;850;873	True;True;True;True	264;604;946;971	406;1004;1005;1559;1560;1561;1562;1563;1599;1600;1601;1602;1603	669;1634;1635;1636;2574;2575;2576;2577;2578;2634;2635;2636;2637;2638	669;1634;2575;2634	1	33
CON__P02533;CON__Q6IFX2;CON__Q04695;CON__Q9QWL7;CON__A2A4G1;CON__P19012;CON__P08727;CON__P19001;CON__Q61782;CON__P35900;CON__Q9D312;CON__Q8N1A0	CON__P02533;CON__Q6IFX2	12;6;5;5;5;4;3;3;2;2;2;1	10;6;4;4;3;3;2;2;2;2;2;1	5;3;1;1;0;0;0;0;0;0;0;0	;	12	12	10	5	11	8	9	6	5	3	27.1	23.3	14.4	51.621	472	472;452;432;433;456;456;400;403;93;424;431;295	1	15	0	88.379	By MS/MS	By MS/MS	0.058442	0.13665	130.13	9	9	Median	0.058442	0.049521	0.11164	0.17107	174.09	68.576	5	4	5	4	Median	Median	24.8	20.3	3304100	3136600	167570	1723100	1638900	84221	1581000	1497700	83345	113940	108160	5778.1	59417	56513	2904.2	54519	51645	2874	4180900	466760	1495600	0			+	3	62;73;120;204;305;409;446;456;766;796;865;896	True;True;True;True;True;True;False;True;True;True;True;False	66;78;128;228;343;460;501;511;856;888;963;996;997	102;103;117;208;349;350;545;546;724;822;823;837;838;1419;1464;1587;1588;1642;1643;1644;1645	158;159;176;347;569;570;922;923;1221;1341;1342;1387;1388;1389;2350;2417;2612;2613;2614;2615;2616;2617;2689;2690;2691;2692;2693;2694	158;176;347;570;923;1221;1341;1387;2350;2417;2616;2691	2;3	119;272
CON__P48668;CON__P04259;CON__P02538;CON__O95678;CON__Q8VED5	CON__P48668;CON__P04259;CON__P02538	11;11;11;5;2	3;3;3;1;0	2;2;2;0;0	;;	5	11	3	2	8	6	1	2	0	2	20.2	6.9	5.1	60.024	564	564;564;564;551;531	1	3	0	18.25	By MS/MS	By MS/MS	0.091688	0.2596	53.195	2	2	Median	NaN	0.091688	NaN	0.2596	NaN	53.195	0	2	0	2	Median	Median	13.5	11.7	213080	191820	21261	0	0	0	213080	191820	21261	7102.7	6394	708.71	0	0	0	7102.7	6394	708.71	0	0	290890	75516			+	4	24;69;237;306;407;425;444;577;619;921;929	True;False;False;False;True;False;False;False;False;False;True	26;74;265;344;458;477;499;651;699;1022;1030	36;112;113;407;408;547;721;780;781;819;1077;1078;1163;1682;1695	54;170;171;172;670;671;924;1216;1217;1288;1289;1338;1767;1768;1769;1770;1897;2749;2764	54;172;670;924;1217;1288;1338;1769;1897;2749;2764		
CON__P02662	CON__P02662	2	2	2		1	2	2	2	2	0	2	0	2	0	11.1	11.1	11.1	22.975	199	199	1	6	0	14.209	By MS/MS		0.069721	0.10149	59.931	2	2	Median	0.069721	NaN	0.10149	NaN	59.931	NaN	2	0	2	0	Median	Median	11.1	0	514010	501010	12995	514010	501010	12995	0	0	0	57112	55668	1443.8	57112	55668	1443.8	0	0	0	651140	66083	0	0			+	5	229;941	True;True	257;1044	392;393;394;1715;1716;1717	645;646;647;648;2799;2800;2801	645;2799		
CON__P02754	CON__P02754	1	1	1		1	1	1	1	1	0	1	0	1	0	12.3	12.3	12.3	18.281	162	162	1	2	0	6.7054	By MS/MS		NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	12.3	0	171390	171390	0	171390	171390	0	0	0	0	15581	15581	0	15581	15581	0	0	0	0	174190	0	0	0			+	6	914	True	1015	1673;1674	2735;2736	2735		
CON__P02769;CON__P02768-1	CON__P02769	7;2	7;2	7;2		2	7	7	7	7	2	7	2	7	2	12.7	12.7	12.7	69.293	607	607;609	1	11	0	48.393	By MS/MS	By MS/MS	0.049252	0.093386	94.276	6	6	Median	0.03195	0.11523	0.062305	0.32573	49.761	2.531	4	2	4	2	Median	Median	12.7	3.6	1717300	1671800	45490	1533700	1499800	33916	183560	171990	11574	42932	41795	1137.3	38343	37495	847.91	4589.1	4299.7	289.35	3315300	206560	284740	0			+	7	344;434;463;530;629;936;944	True;True;True;True;True;True;True	388;486;519;593;709;1038;1047	615;791;792;793;850;991;992;1181;1705;1706;1721	1038;1299;1300;1301;1401;1620;1621;1622;1922;2784;2785;2811	1038;1301;1401;1620;1922;2784;2811		
CON__P04264	CON__P04264	30	30	22		1	30	30	22	28	16	28	16	20	11	48.8	48.8	38.7	66.017	644	644	1	77	0	315.4	By MS/MS	By MS/MS	0.034721	0.071722	123.43	54	53	Median	0.027237	0.035564	0.053151	0.10927	116.7	114.67	31	23	31	22	Median	Median	46.1	30.4	71168000	70153000	1014900	47458000	47183000	275030	23710000	22970000	739840	2295700	2263000	32737	1530900	1522000	8871.8	764840	740970	23866	49867000	2650500	26546000	0			+	8	26;149;159;239;248;273;364;420;427;443;493;494;510;553;573;587;594;617;661;670;687;689;692;695;699;755;771;781;916;927	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	28;166;167;177;178;267;276;303;411;472;479;498;552;553;571;624;647;663;664;665;672;697;742;751;772;774;777;780;784;845;861;873;1017;1028	39;40;259;260;261;274;275;276;277;412;413;414;415;416;417;418;419;431;432;433;434;435;436;477;478;479;480;481;649;650;751;783;784;816;817;818;931;932;933;960;961;1034;1063;1064;1102;1103;1104;1105;1106;1107;1108;1109;1110;1111;1119;1159;1160;1233;1246;1271;1273;1274;1278;1279;1280;1284;1285;1289;1401;1402;1424;1425;1443;1676;1677;1691;1692	59;60;61;416;417;418;419;445;446;447;448;449;450;451;452;675;676;677;678;679;680;681;682;683;684;685;686;687;688;689;705;706;707;708;709;710;711;712;713;714;715;801;802;803;804;805;806;1085;1086;1087;1088;1089;1090;1256;1291;1292;1335;1336;1337;1524;1525;1526;1527;1528;1529;1565;1566;1685;1725;1726;1805;1806;1807;1808;1809;1810;1811;1812;1813;1814;1815;1816;1817;1826;1888;1889;1890;1891;1990;2015;2045;2048;2049;2050;2060;2061;2062;2063;2064;2065;2066;2072;2073;2078;2079;2080;2316;2317;2357;2358;2359;2360;2386;2387;2388;2389;2739;2740;2741;2742;2743;2744;2760;2761	61;418;448;684;708;806;1085;1256;1292;1335;1525;1529;1566;1685;1726;1814;1826;1890;1990;2015;2045;2048;2064;2073;2079;2316;2359;2387;2742;2760	4;5;6;7;8	259;262;296;469;493
CON__P07477	CON__P07477	2	1	1		1	2	1	1	2	2	1	1	1	1	7.3	4	4	26.558	247	247	1	7	0	11.453	By MS/MS	By MS/MS	0.0013899	0.0026583	118.98	3	3	Median	0.001021	NaN	0.0019522	NaN	43.659	NaN	2	1	2	1	Median	Median	7.3	7.3	29777000	29725000	52608	26852000	26816000	36620	2924800	2908800	15988	3722100	3715600	6576	3356600	3352000	4577.5	365600	363600	1998.5	0	0	2787300	89865			+	9	575;774	False;True	649;865;866	1067;1068;1069;1429;1430;1431;1432;1433;1434;1435	1729;1730;1731;1732;1733;1734;1735;1736;1737;1738;1739;1740;1741;1742;1743;1744;1745;1746;1747;1748;1749;1750;1751;1752;1753;1754;1755;1756;1757;1758;2364;2365;2366;2367;2368;2369;2370;2371;2372;2373;2374;2375;2376;2377	1733;2365	9	109
